Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%
Nick Fortes,Tampa Bay Rays,0.8,39.1,16.5,18.0,38.0,6.1,86.4,0.070,14.8,68.9,0.275,52.6,6.0,24.1,0,0,5,R,15.0
Richie Palacios,Tampa Bay Rays,3.0,26.5,16.7,27.5,30.1,11.6,87.1,0.077,23.4,62.4,0.300,34.3,2.9,23.5,0,0,5,L,24.5
Taylor Walls,Tampa Bay Rays,1.9,16.3,28.8,17.3,25.1,20.3,82.9,0.050,23.3,62.9,0.240,33.7,2.9,14.4,0,0,6,S,33.7
James Wood,Washington Nationals,25.2,58.3,30.7,30.1,22.6,10.3,96.0,0.335,31.8,56.1,0.429,28.2,9.8,20.2,0,0,7,L,36.2
CJ Abrams,Washington Nationals,11.0,42.2,28.6,25.0,34.8,16.7,90.0,0.199,28.4,67.6,0.362,44.3,6.8,27.1,0,0,7,L,24.0
Curtis Mead,Washington Nationals,10.2,44.9,33.9,23.6,24.3,15.7,89.4,0.204,16.5,59.2,0.370,48.0,6.3,26.8,0,0,7,R,21.3
Jacob Young,Washington Nationals,6.6,36.9,26.2,28.0,26.2,11.7,89.2,0.139,20.2,58.6,0.314,35.1,5.4,25.6,0,0,6,R,28.6
Daylen Lile,Washington Nationals,8.3,37.3,34.9,22.0,35.5,17.1,88.0,0.168,24.0,75.5,0.328,41.7,6.0,25.7,0,0,6,L,29.4
Luis Garcia Jr,Washington Nationals,8.1,48.0,18.9,26.3,42.0,11.0,92.3,0.172,18.5,71.5,0.338,40.0,3.4,26.9,0,0,6,R,21.7
Bryce Eldridge,San Francisco Giants,10.3,57.4,33.8,30.9,29.6,16.3,92.7,0.227,22.7,69.9,0.396,41.2,4.4,38.2,0,0,8,R,25.0
Casey Schmitt,San Francisco Giants,13.0,43.0,34.2,22.3,36.4,20.9,89.4,0.224,22.6,70.1,0.348,40.9,4.7,24.4,0,0,7,R,23.3
Willy Adames,San Francisco Giants,9.5,43.4,34.4,22.8,32.4,22.3,89.2,0.181,28.0,65.2,0.297,47.6,11.6,23.3,0,0,6,R,23.8
Rafael Devers,San Francisco Giants,10.1,49.7,31.3,18.4,31.0,12.7,91.8,0.184,31.2,69.7,0.292,31.8,10.6,19.0,0,0,6,L,23.5
Matt Chapman,San Francisco Giants,5.3,35.3,18.4,21.6,25.8,10.4,87.9,0.100,22.3,62.4,0.285,37.9,5.3,21.6,0,0,6,R,27.4
Jung Hoo Lee,San Francisco Giants,2.4,30.3,20.2,33.2,29.0,10.0,87.7,0.090,13.0,63.4,0.337,36.5,2.4,32.7,0,0,6,L,28.4
Luis Arraez,San Francisco Giants,0.4,22.3,28.5,27.3,34.6,14.8,87.5,0.080,9.1,66.1,0.305,30.9,0.4,27.3,0,0,5,L,32.0
